# master.sh manifest — 2026-06-29T02:49:06Z
# url	category	dir-name	tag	status
https://github.com/CSPF-Founder/JavaVulnerableLab.git	java	javavulnerablelab	V0.1	cloned
https://github.com/DataDog/vulnerable-java-application.git	java	vulnado		no-tag
https://github.com/Checkmarx/Goatlin.git	java	goatlin	v0.3.0	cloned
https://github.com/OWASP/SecurityShepherd.git	java	security-shepherd	v3.1	cloned
https://github.com/righettod/poc-xxe.git	java	poc-xxe		no-tag
https://github.com/righettod/poc-graphql.git	java	poc-graphql	1.0.0	cloned
https://github.com/snoopysecurity/Vulnerable-Code-Snippets.git	java	vuln-snippets		no-tag
https://github.com/frohoff/ysoserial.git	java	ysoserial	vtesting.a.fix	cloned
https://github.com/GrrrDog/Java-Deserialization-Cheat-Sheet.git	java	java-deser-cheatsheet		no-tag
https://github.com/jaiswalakshansh/Damn-Vulnerable-GraphQL-Application.git	java	dvga-java		no-tag
https://github.com/django/django.git	python	django	stable/5.1.x	cloned
https://github.com/pallets/flask.git	python	flask	3.1.3	cloned
https://github.com/fastapi/fastapi.git	python	fastapi	v0.1.16	cloned
https://github.com/numpy/numpy.git	python	numpy	with_maskna	cloned
https://github.com/pandas-dev/pandas.git	python	pandas	v3.1.0.dev0	cloned
https://github.com/psf/requests.git	python	requests	v2.34.2	cloned
https://github.com/ansible/ansible.git	python	ansible	v2.21.1rc1	cloned
https://github.com/apache/airflow.git	python	airflow	v1.8.2	cloned
https://github.com/celery/celery.git	python	celery	v5.6.3	cloned
https://github.com/redis/redis-py.git	python	redis-py	v8.0.1	cloned
https://github.com/pytest-dev/pytest.git	python	pytest	v7.4.3	cloned
https://github.com/sqlalchemy/sqlalchemy.git	python	sqlalchemy	rel_2_1_0b3	cloned
https://github.com/aio-libs/aiohttp.git	python	aiohttp		no-tag
https://github.com/huggingface/transformers.git	python	transformers	v5.12.1	cloned
https://github.com/scikit-learn/scikit-learn.git	python	scikit-learn	sprint01	cloned
https://github.com/scipy/scipy.git	python	scipy	v1.18.0rc2	cloned
https://github.com/matplotlib/matplotlib.git	python	matplotlib	v3.11.0rc2	cloned
https://github.com/encode/uvicorn.git	python	uvicorn	0.49.0	cloned
https://github.com/python-poetry/poetry.git	python	poetry	2.4.1	cloned
https://github.com/pypa/pip.git	python	pip	26.1.2	cloned
https://github.com/astral-sh/ruff.git	python	ruff	v0.4.10	cloned
https://github.com/python/cpython.git	python	cpython	v3.15.0b3	cloned
https://github.com/tornadoweb/tornado.git	python	tornado	v6.5.7	cloned
https://github.com/encode/starlette.git	python	starlette	1.3.1	cloned
https://github.com/pydantic/pydantic.git	python	pydantic	v2.14.0a1	cloned
https://github.com/boto/boto3.git	python	boto3	1.43.36	cloned
https://github.com/google/grpc.git	python	grpc	v1.82.0-pre2	cloned
https://github.com/paramiko/paramiko.git	python	paramiko	v1.18.1	cloned
https://github.com/pyca/cryptography.git	python	cryptography	49.0.0	cloned
https://github.com/streamlit/streamlit.git	python	streamlit	v0.0.3	cloned
https://github.com/scrapy/scrapy.git	python	scrapy	scrapy-0.25.1-sc	cloned
https://github.com/Textualize/rich.git	python	rich	v15.0.0	cloned
https://github.com/getsentry/sentry.git	python	sentry	v1.13.5	cloned
https://github.com/apache/superset.git	python	superset	v2021.41.0	cloned
https://github.com/frappe/frappe.git	python	frappe	v16.24.3	cloned
https://github.com/falconry/falcon.git	python	falcon	4.3.1	cloned
https://github.com/Pylons/pyramid.git	python	pyramid	2.1rc4	cloned
https://github.com/bottlepy/bottle.git	python	bottle	0.13.4	cloned
https://github.com/yaml/pyyaml.git	python	pyyaml	dec-11	cloned
https://github.com/python-pillow/Pillow.git	python	pillow	12.2.0	cloned
https://github.com/pallets/click.git	python	click	8.4.2	cloned
https://github.com/python/mypy.git	python	mypy	v2.1.0	cloned
https://github.com/pylint-dev/pylint.git	python	pylint	vendored-mccabe-backup	cloned
https://github.com/python-lsp/python-lsp-server.git	python	python-lsp-server	v1.14.0	cloned
https://github.com/encode/httpx.git	python	httpx	1.0.0.beta0	cloned
https://github.com/tiangolo/sqlmodel.git	python	sqlmodel	0.0.39	cloned
https://github.com/benoitc/gunicorn.git	python	gunicorn	26.0.0	cloned
https://github.com/joke2k/faker.git	python	faker	v40.23.0	cloned
https://github.com/dateutil/dateutil.git	python	dateutil	2.9.0.post0	cloned
https://github.com/arrow-py/arrow.git	python	arrow	1.4.0	cloned
https://github.com/tartley/colorama.git	python	colorama	v0.3.4	cloned
https://github.com/Textualize/textual.git	python	textual	v8.2.7	cloned
https://github.com/tqdm/tqdm.git	python	tqdm	v4.68.3	cloned
https://github.com/cookiecutter/cookiecutter-django.git	python	cookiecutter-django	2026.06.27	cloned
https://github.com/saleor/saleor.git	python	saleor	v2018.09	cloned
https://github.com/zulip/zulip.git	python	zulip	shared-0.0.18	cloned
https://github.com/readthedocs/readthedocs.org.git	python	readthedocs	rm	cloned
https://github.com/django-cms/django-cms.git	python	django-cms	temporary	cloned
https://github.com/mage-ai/mage-ai.git	python	mage-ai	0.9.79	cloned
https://github.com/posthog/posthog.git	python	posthog	release-1.38.1	cloned
https://github.com/netbox-community/netbox.git	python	netbox	v4.6.3	cloned
https://github.com/healthchecks/healthchecks.git	python	healthchecks	v4.2	cloned
https://github.com/mayan-edms/Mayan-EDMS.git	python	mayan-edms	v1.0	cloned
https://github.com/wagtail/wagtail.git	python	wagtail	v7.4rc1	cloned
https://github.com/encode/django-rest-framework.git	python	django-rest-framework	3.17.1	cloned
https://github.com/jazzband/django-oauth-toolkit.git	python	django-oauth-toolkit	3.3.0	cloned
https://github.com/jazzband/django-rest-knox.git	python	django-rest-knox	5.0.4	cloned
https://github.com/pennersr/django-allauth.git	python	django-allauth	65.18.0	cloned
